Sentiment Tweet_Id
positive 636209869255634944
positive 636212744186953733
negative 636223723545227264
positive 636249430342115328
negative 636258863558168576
negative 636295810599251968
negative 636326367093764097
negative 636367558342406144
negative 636484412654268416
positive 636522432979947520
negative 636538301000888320
positive 636635617598775296
positive 636807398087233536
negative 637471340929417216
negative 637626394864914432
positive 637626986979033088
negative 637719681298731008
negative 637730730022408192
positive 637745966909526016
positive 637785711383609344
positive 638009247872233473
positive 638101814588542976
negative 638130291555610625
positive 638154933993349120
positive 638501772143796224
positive 638503449534054401
negative 638503513316814848
positive 638505605825753089
positive 638505622053457920
negative 638507821462618112
negative 638510545008771073
positive 638516251476799488
negative 638519367970500608
positive 638521578330959872
positive 638534949604188160
negative 638819901163986946
negative 638969776128294912
negative 639217619321659392
positive 639317019783892992
positive 639536587244703745
negative 639546612394631168
positive 639844717480378368
positive 639864217428996096
negative 639894846442967041
positive 640208689769660417
positive 640302588617981952
positive 640324003048124416
negative 641040890732130304
positive 641438754213728256
positive 633667870099144705
positive 633683292596797440
positive 633788406787522560
positive 634121761236328448
positive 634135861857157120
negative 634227230025973760
positive 634439365729521664
positive 634484206672982016
negative 634523816224550912
negative 634556182288580608
negative 634562661326393346
positive 634754996635090944
negative 634809429276291072
positive 634881566754390016
negative 635123017933156352
negative 635249487544369152
negative 635276559591579648
positive 635380424596963329
positive 635635724474261504
positive 635680236500316161
negative 635819494531837952
negative 635822055666135041
negative 635928317741301760
negative 635945868324024321
positive 635966335374200833
positive 636250751191355393
negative 636370093509750784
negative 636374157131911170
positive 636395907521609728
negative 636409358612623361
positive 636643054301106176
positive 636758478183202816
negative 636863673084936192
positive 637063650524721152
negative 637069253414400000
positive 637081433018777601
positive 637223076342591488
positive 637377077289840641
positive 637406940310601728
negative 637673846175232000
negative 637702995396927490
negative 637745006602616832
negative 637760402814726144
negative 637857408623243265
positive 638010060560592896
negative 638033869283938304
negative 638215956557271040
negative 638250221105901568
negative 638294020008054785
positive 638346725523070976
negative 638496056280354816
positive 638532037335494656
negative 638557635369938944
negative 638753357977518080
positive 638953687348416512
negative 639107429242904576
positive 639315294624837633
positive 639480000891240448
positive 639595547490430976
positive 639620203475791872
negative 640170856510062593
negative 640194301897523200
negative 640637105954230272
positive 640711704125509633
positive 640779414582751232
negative 640887562811387905
negative 640958530103693312
positive 641257840317960192
negative 641336512706023424
positive 641383137340182528
positive 641419077471199232
negative 641419291657506816
negative 640978566700793856
negative 640993271922061312
negative 641014076806557696
positive 641032295294472192
positive 641035173275025409
positive 641036267447287808
negative 641049321899728897
negative 641050756221661184
negative 641077671489835009
positive 641078571474255872
negative 641089812133363713
negative 641105704854663168
negative 641106190659919872
negative 641146431558971392
negative 641196772556017665
negative 641229779954302976
negative 641233609613938688
positive 641249800579608576
negative 641251185844948993
negative 641260282375868416
negative 641293277510021120
negative 641322123114450944
positive 641326668217470977
negative 641350215518175232
positive 641354533679968256
negative 641355132467175424
negative 641364951433502720
negative 641367139387965440
positive 641369063889879040
positive 641375379064795136
positive 641378373072195584
negative 641389047944904705
negative 641415924042481664
positive 641418159853993984
positive 641421176443641856
negative 641425193190100992
negative 641430368550170625
positive 641434186340020225
positive 641436078201786368
negative 641440255212519425
negative 641444852719161344
negative 641452535757295616
negative 641453487667048448
negative 641454442685046784
negative 641456345133158400
negative 641463227713368064
negative 641469149131218944
negative 641469222271344641
negative 641471628916846592
negative 641481228558970880
negative 641491378774519808
negative 641492923402465280
negative 641494825108242432
negative 641496982066888704
positive 641563639246397441
negative 641573169564807168
negative 641575181740298240
negative 641579872435830784
positive 641602994862202880
positive 641612506100813824
positive 641619623671033856
positive 641626376563326977
positive 620748211318358016
negative 620820906164813824
positive 620849981931393024
positive 620863433462841344
negative 620895806732701696
positive 620952187510747137
positive 620968343810523136
positive 621011244397559808
positive 621076468668477441
positive 621079502505013248
positive 621083339798249472
positive 621212335328198656
positive 621309403661266944
positive 621430307888173056
positive 621433383395135488
positive 621475162257534976
positive 621509047825530880
