Sentiment Tweet_Id
negative 637651487762554881
positive 637668142110654468
negative 637708370129125377
negative 637857585652076544
negative 637859860017647616
negative 637923877423742977
positive 638159273072062464
negative 638172841284866053
positive 638175116145377280
positive 638270737502105600
positive 638393198201696256
negative 638394988892520448
positive 638399901349621760
positive 638453810093006848
negative 638481185275052032
negative 638575315770478593
positive 638626774503415808
positive 638640306905190400
negative 638775649193361409
positive 638783969568366593
positive 638813699927621632
positive 638822443352612864
negative 638823054353694720
negative 638901502791184384
positive 639074935240065024
negative 639087527165497344
negative 639093919024742400
positive 639121090652930048
positive 639162337513988097
negative 639234985568960512
positive 639284990036078592
negative 639331098372124672
negative 639607684833128449
positive 639703605705113600
negative 639713042201190400
negative 639768346708185089
positive 639820972766445568
negative 639867771812188160
negative 639899871550537728
positive 640137904149393408
positive 640156377244127232
positive 640170970603474944
positive 640209445763567616
positive 640213874793410560
negative 640254617750671364
negative 640271739486883842
positive 640290626756476928
negative 640305092827070464
negative 640337021215604740
negative 640343783956213760
positive 640356367031623680
negative 640543554574520321
positive 640547904004816896
positive 640594318298869760
positive 640645857449127936
positive 640718570452860928
negative 640749596336095232
negative 640774100919554049
negative 640864171203014657
negative 640912226497392640
positive 641146360356544512
negative 641154359292784640
negative 641158545228980224
negative 641163114801598464
positive 641170873962008576
negative 641265496109785088
positive 641292853927354368
positive 641296016788996096
negative 641330259644784642
negative 641355475611553792
negative 641372765568811008
negative 641374857356267520
positive 641388155275362304
positive 641404549484273664
positive 641518156855377920
positive 641560678696882176
negative 641639801871970304
negative 641658506362249216
positive 641658799892230148
positive 641673714619273216
negative 640720177919827968
negative 640723876402434048
negative 640750947946246144
negative 640771948377735168
positive 640780161554751488
negative 640824468806348800
negative 640838335188103168
negative 640858069161897985
negative 640858420476641280
negative 640873454422593536
positive 640874503262863360
negative 640904197165199360
negative 640922342533693440
negative 640946794923446272
positive 640972274917580800
negative 640976599907635200
negative 640983469707927553
negative 641012095601872898
negative 641020758437830656
positive 641029007765577728
negative 641045779419803648
positive 641067009313079296
negative 641118745851744256
negative 641126573492555776
negative 641137115577884672
negative 641146368078168064
positive 641163697709260800
negative 641170452686237696
negative 641171546581651456
positive 641182264655654912
positive 641190959947096064
negative 641195314309939200
negative 641203385505591297
negative 641205515947786240
positive 641221882155540480
negative 641253126582865920
negative 641256829557862400
positive 641257504685621248
negative 641257894600577024
negative 641258012158525440
negative 641263243827224576
positive 641268234482618368
negative 641294071328190464
negative 641297149033086977
negative 641298353570074624
negative 641302529997991937
negative 641306217764286464
negative 641308893625352192
negative 641315202269618176
negative 641316732846608385
negative 641332062667059200
negative 641346758929285120
positive 641348425867399169
negative 641354519209644033
positive 641366359960514561
positive 641374748388270080
negative 641388572805828608
negative 641397972731740160
negative 641411277118509056
positive 641411331699027968
negative 641413877121445888
negative 641414501326266368
negative 641418485952745473
negative 641424954131632128
positive 641443222317744129
negative 641445550911414272
negative 641475013250428932
negative 641497394962694144
negative 641514458666418176
negative 641571615956992000
negative 641583723192958976
negative 641601508723793920
negative 641608087124602880
negative 641614426752348160
positive 641630842729680896
negative 632621591004733440
positive 633013702308921344
negative 634188936420675584
negative 634329596184301569
positive 634371514385625088
positive 635072444190064640
positive 635302554855829504
negative 635419747664961536
negative 635578493267505152
negative 635653323333443584
positive 635654033106014209
negative 635657174216273920
negative 635672621175148544
positive 635689839162171393
positive 635901190228836352
negative 635916924011028481
positive 635926759976869888
negative 635932391429799937
positive 636013828250202112
positive 636014397698232320
negative 636014918093930496
positive 636015712608350208
positive 636015735697870848
negative 636016923394895872
positive 636018634285035520
