Sentiment Tweet_Id
positive 637651487762554881
neutral 637668142110654468
neutral 637708370129125377
neutral 637857585652076544
negative 637859860017647616
neutral 637923877423742977
neutral 638159273072062464
positive 638172841284866053
neutral 638175116145377280
positive 638270737502105600
negative 638393198201696256
neutral 638394988892520448
negative 638399901349621760
negative 638453810093006848
negative 638481185275052032
negative 638575315770478593
neutral 638626774503415808
neutral 638640306905190400
neutral 638775649193361409
positive 638783969568366593
positive 638813699927621632
positive 638822443352612864
neutral 638823054353694720
positive 638901502791184384
negative 639074935240065024
positive 639087527165497344
neutral 639093919024742400
neutral 639121090652930048
negative 639162337513988097
negative 639234985568960512
neutral 639284990036078592
neutral 639331098372124672
neutral 639607684833128449
neutral 639703605705113600
negative 639713042201190400
neutral 639768346708185089
neutral 639820972766445568
neutral 639867771812188160
positive 639899871550537728
neutral 640137904149393408
neutral 640156377244127232
neutral 640170970603474944
neutral 640209445763567616
neutral 640213874793410560
neutral 640254617750671364
negative 640271739486883842
negative 640290626756476928
neutral 640305092827070464
negative 640337021215604740
neutral 640343783956213760
neutral 640356367031623680
neutral 640543554574520321
positive 640547904004816896
negative 640594318298869760
negative 640645857449127936
neutral 640718570452860928
neutral 640749596336095232
negative 640774100919554049
neutral 640864171203014657
neutral 640912226497392640
negative 641146360356544512
negative 641154359292784640
neutral 641158545228980224
neutral 641163114801598464
neutral 641170873962008576
neutral 641265496109785088
neutral 641292853927354368
neutral 641296016788996096
neutral 641330259644784642
neutral 641355475611553792
neutral 641372765568811008
negative 641374857356267520
neutral 641388155275362304
neutral 641404549484273664
neutral 641518156855377920
neutral 641560678696882176
neutral 641639801871970304
neutral 641658506362249216
neutral 641658799892230148
neutral 641673714619273216
neutral 640720177919827968
negative 640723876402434048
neutral 640750947946246144
negative 640771948377735168
neutral 640780161554751488
negative 640824468806348800
neutral 640838335188103168
negative 640858069161897985
positive 640858420476641280
neutral 640873454422593536
negative 640874503262863360
negative 640904197165199360
neutral 640922342533693440
neutral 640946794923446272
negative 640972274917580800
neutral 640976599907635200
negative 640983469707927553
neutral 641012095601872898
neutral 641020758437830656
negative 641029007765577728
neutral 641045779419803648
negative 641067009313079296
negative 641118745851744256
negative 641126573492555776
negative 641137115577884672
neutral 641146368078168064
neutral 641163697709260800
neutral 641170452686237696
negative 641171546581651456
positive 641182264655654912
negative 641190959947096064
negative 641195314309939200
negative 641203385505591297
neutral 641205515947786240
neutral 641221882155540480
neutral 641253126582865920
negative 641256829557862400
positive 641257504685621248
negative 641257894600577024
negative 641258012158525440
negative 641263243827224576
negative 641268234482618368
negative 641294071328190464
positive 641297149033086977
negative 641298353570074624
negative 641302529997991937
negative 641306217764286464
positive 641308893625352192
neutral 641315202269618176
positive 641316732846608385
neutral 641332062667059200
negative 641346758929285120
neutral 641348425867399169
positive 641354519209644033
neutral 641366359960514561
neutral 641374748388270080
neutral 641388572805828608
neutral 641397972731740160
negative 641411277118509056
positive 641411331699027968
neutral 641413877121445888
negative 641414501326266368
negative 641418485952745473
negative 641424954131632128
neutral 641443222317744129
neutral 641445550911414272
neutral 641475013250428932
negative 641497394962694144
negative 641514458666418176
neutral 641571615956992000
negative 641583723192958976
neutral 641601508723793920
neutral 641608087124602880
neutral 641614426752348160
neutral 641630842729680896
negative 632621591004733440
neutral 633013702308921344
negative 634188936420675584
positive 634329596184301569
neutral 634371514385625088
neutral 635072444190064640
negative 635302554855829504
neutral 635419747664961536
negative 635578493267505152
negative 635653323333443584
neutral 635654033106014209
negative 635657174216273920
negative 635672621175148544
neutral 635689839162171393
neutral 635901190228836352
negative 635916924011028481
neutral 635926759976869888
negative 635932391429799937
positive 636013828250202112
neutral 636014397698232320
positive 636014918093930496
negative 636015712608350208
neutral 636015735697870848
negative 636016923394895872
negative 636018634285035520
negative 636021350054821888
neutral 636022266933977088
neutral 636025035518513152
negative 636028340982427648
neutral 636153239298306048
positive 636209869255634944
negative 636212744186953733
negative 636223723545227264
neutral 636249430342115328
neutral 636258863558168576
positive 636295810599251968
negative 636326367093764097
neutral 636367558342406144
neutral 636484412654268416
positive 636522432979947520
neutral 636538301000888320
positive 636635617598775296
neutral 636807398087233536
neutral 637471340929417216
neutral 637626394864914432
negative 637626986979033088
negative 637719681298731008
neutral 637730730022408192
negative 637745966909526016
neutral 637785711383609344
positive 638009247872233473
neutral 638101814588542976
positive 638130291555610625
neutral 638154933993349120
negative 638501772143796224
positive 638503449534054401
negative 638503513316814848
negative 638505605825753089
neutral 638505622053457920
negative 638507821462618112
negative 638510545008771073
positive 638516251476799488
negative 638519367970500608
negative 638521578330959872
positive 638534949604188160
neutral 638819901163986946
neutral 638969776128294912
negative 639217619321659392
neutral 639317019783892992
negative 639536587244703745
negative 639546612394631168
negative 639844717480378368
negative 639864217428996096
negative 639894846442967041
negative 640208689769660417
negative 640302588617981952
neutral 640324003048124416
neutral 641040890732130304
negative 641438754213728256
neutral 633667870099144705
neutral 633683292596797440
negative 633788406787522560
neutral 634121761236328448
negative 634135861857157120
positive 634227230025973760
neutral 634439365729521664
negative 634484206672982016
negative 634523816224550912
negative 634556182288580608
negative 634562661326393346
neutral 634754996635090944
negative 634809429276291072
neutral 634881566754390016
neutral 635123017933156352
neutral 635249487544369152
neutral 635276559591579648
negative 635380424596963329
neutral 635635724474261504
positive 635680236500316161
negative 635819494531837952
neutral 635822055666135041
neutral 635928317741301760
negative 635945868324024321
negative 635966335374200833
neutral 636250751191355393
neutral 636370093509750784
neutral 636374157131911170
neutral 636395907521609728
neutral 636409358612623361
neutral 636643054301106176
neutral 636758478183202816
neutral 636863673084936192
neutral 637063650524721152
negative 637069253414400000
negative 637081433018777601
negative 637223076342591488
neutral 637377077289840641
neutral 637406940310601728
negative 637673846175232000
neutral 637702995396927490
neutral 637745006602616832
neutral 637760402814726144
positive 637857408623243265
positive 638010060560592896
neutral 638033869283938304
negative 638215956557271040
negative 638250221105901568
neutral 638294020008054785
negative 638346725523070976
neutral 638496056280354816
neutral 638532037335494656
negative 638557635369938944
neutral 638753357977518080
negative 638953687348416512
neutral 639107429242904576
neutral 639315294624837633
neutral 639480000891240448
neutral 639595547490430976
negative 639620203475791872
negative 640170856510062593
neutral 640194301897523200
negative 640637105954230272
neutral 640711704125509633
neutral 640779414582751232
neutral 640887562811387905
negative 640958530103693312
negative 641257840317960192
neutral 641336512706023424
neutral 641383137340182528
neutral 641419077471199232
negative 641419291657506816
neutral 640978566700793856
neutral 640993271922061312
positive 641014076806557696
neutral 641032295294472192
neutral 641035173275025409
neutral 641036267447287808
neutral 641049321899728897
neutral 641050756221661184
neutral 641077671489835009
negative 641078571474255872
neutral 641089812133363713
neutral 641105704854663168
negative 641106190659919872
neutral 641146431558971392
negative 641196772556017665
positive 641229779954302976
neutral 641233609613938688
positive 641249800579608576
negative 641251185844948993
neutral 641260282375868416
negative 641293277510021120
negative 641322123114450944
neutral 641326668217470977
positive 641350215518175232
neutral 641354533679968256
negative 641355132467175424
neutral 641364951433502720
negative 641367139387965440
negative 641369063889879040
positive 641375379064795136
positive 641378373072195584
negative 641389047944904705
negative 641415924042481664
neutral 641418159853993984
positive 641421176443641856
negative 641425193190100992
neutral 641430368550170625
negative 641434186340020225
neutral 641436078201786368
negative 641440255212519425
neutral 641444852719161344
positive 641452535757295616
neutral 641453487667048448
neutral 641454442685046784
negative 641456345133158400
negative 641463227713368064
negative 641469149131218944
positive 641469222271344641
neutral 641471628916846592
positive 641481228558970880
neutral 641491378774519808
neutral 641492923402465280
neutral 641494825108242432
negative 641496982066888704
positive 641563639246397441
positive 641573169564807168
negative 641575181740298240
neutral 641579872435830784
neutral 641602994862202880
neutral 641612506100813824
neutral 641619623671033856
neutral 641626376563326977
negative 620748211318358016
neutral 620820906164813824
neutral 620849981931393024
negative 620863433462841344
neutral 620895806732701696
negative 620952187510747137
neutral 620968343810523136
positive 621011244397559808
neutral 621076468668477441
negative 621079502505013248
negative 621083339798249472
negative 621212335328198656
negative 621309403661266944
neutral 621430307888173056
negative 621433383395135488
negative 621475162257534976
neutral 621509047825530880
neutral 621547755064946692
negative 621758429300977664
negative 621957602877030400
positive 621974257472536576
neutral 622053281192353792
negative 622169226980274176
neutral 622198535392468993
neutral 622222260787613696
negative 622258433668984833
neutral 622303721922424832
negative 622318489911496705
positive 622610235140616192
neutral 622634116052291584
neutral 622655674732797952
neutral 622752615839977472
negative 622888428263370757
positive 623014972633817089
negative 623340183296081920
negative 623361176089419776
neutral 623749077939974144
negative 623938988903153664
negative 624189238364352513
neutral 624522478858047488
neutral 624736003698221057
positive 625071677425209344
negative 625408569639354368
negative 625439476614045696
neutral 625888552216195073
negative 626000213543682049
negative 626171902130810880
negative 626498664966426624
neutral 626585226240786432
positive 627207597167374336
neutral 627359831003897856
negative 627476317508923393
negative 627727098556198914
neutral 628307454053498882
negative 629402327028346882
negative 629501748676145153
negative 629631506588266496
negative 631003194458378240
negative 631697180374335488
negative 633859924376731648
neutral 634467183339421696
neutral 636698955582210048
neutral 638135698856505344
neutral 639278863088914432
negative 639786655222747136
positive 637930164312240128
negative 637985125767217152
neutral 638011969300107264
negative 638012791039766528
neutral 638014629021622273
negative 638022874222096384
neutral 638043667207454720
negative 638088428010115072
negative 638090700572200960
positive 638145197919064064
neutral 638176281620713472
neutral 638179474178224128
neutral 638180026882482177
positive 638188012539523072
neutral 638209031715184640
negative 638224056991502337
neutral 638300559095664641
positive 638329289591660544
negative 638350720329232384
neutral 638351607847981057
negative 638356738161397760
positive 638374948512362496
positive 638396188971147264
neutral 638450689027514368
negative 638482370627178496
neutral 638503739708444672
negative 638514188151881728
positive 638517941219291136
neutral 638525507739500545
neutral 638537066771419137
negative 638547343361601536
neutral 638575299643314176
neutral 638603937004847104
positive 638605481053945856
neutral 638638388787200000
negative 638754869420036096
neutral 638824119996276737
negative 638837342174744577
neutral 638864466499792896
neutral 638926646355988480
negative 639048498843906048
neutral 639099810117627904
positive 639337595562950656
neutral 639406022113628160
negative 639441273229864960
neutral 639464019485687808
negative 639544065273499648
neutral 639547492548354049
neutral 639648871744860164
neutral 639992058132852736
negative 640004482646982657
negative 640055719757250561
negative 640165746950148096
negative 640270750373519360
negative 640273278808887296
negative 640321327291731968
negative 640729882608160769
neutral 640763763151376384
negative 640774685743955968
neutral 640837652929875968
neutral 640844538937012224
negative 640860544090554368
negative 640918229414600705
negative 640944881893027840
positive 641038428633587712
negative 641054488732631040
negative 641161245828235264
neutral 641373124802424832
neutral 641443318702837760
neutral 641447452105682945
negative 641562951254716420
neutral 639470371977064448
negative 639478713025957888
neutral 639535134815965184
positive 639578369168797696
neutral 639579946021621760
positive 639581542713454592
positive 639589757979197440
positive 639590962583441408
neutral 639594179564306432
neutral 639606596960567297
negative 639641268528648192
neutral 639657176399638529
positive 639676351587348480
neutral 639683569950920705
neutral 639685463855484928
neutral 639697317399015424
positive 639704180609974273
neutral 639720230697201664
neutral 639731385205440512
neutral 639731805843812352
neutral 639732137302822912
neutral 639732439410053120
neutral 639742903128948736
positive 639745907592949760
neutral 639749064872067072
neutral 639750938274721792
neutral 639754679056998400
neutral 639759476187336704
neutral 639763567923851264
neutral 639766699605143552
neutral 639766917520211968
positive 639767721073315842
neutral 639768228546277376
negative 639776353932439552
neutral 639785501902393344
neutral 639791600185442306
neutral 639793234722615296
negative 639795111115771904
neutral 639796582649565184
neutral 639801611750129664
neutral 639802191218384897
neutral 639802428729114624
neutral 639802755910107136
neutral 639806473942364160
neutral 639813977237782528
neutral 639814513550823428
neutral 639817715666972672
neutral 639818590779273216
neutral 639818613474525184
positive 639824104606973956
positive 639824860324106240
neutral 639837514845523968
neutral 639838463383216128
neutral 639838991391461376
neutral 639839167069978624
neutral 639841479892987904
neutral 639845247284080640
positive 639848042217103360
neutral 639848878305472512
neutral 639850577149607936
neutral 639852307614601216
negative 639852635164643328
neutral 639860048185958400
neutral 639865037167939584
neutral 639875873131360256
neutral 639876392302313472
positive 639878228765712384
neutral 639895165482717184
neutral 639901411778686977
neutral 639902905194139648
positive 639909241042698240
neutral 639913963992518656
neutral 639916258897465344
neutral 639916607020527616
neutral 639918749601034240
neutral 639923041942794240
neutral 639949454028746752
neutral 639974450478338049
negative 639977042176569344
neutral 639983837582331904
negative 639986132822851584
negative 640051340559806464
neutral 640553801066356736
neutral 640844152532418560
negative 640948149998104576
neutral 641029482216730625
positive 641040604756082688
negative 641418016853463040
negative 641569413746040832
neutral 641605601609428992
negative 635327668737589248
neutral 635345443287789568
neutral 635354524685832192
neutral 635364907177877504
negative 635407147027800064
neutral 635417096168579072
neutral 635438285855322112
neutral 635439288243650560
neutral 635447953658933248
neutral 635450781638991873
neutral 635463103090696192
neutral 635466224344924160
neutral 635471126685196288
negative 635479586365509632
negative 635483898936446977
neutral 635490046934560768
neutral 635492641388560384
neutral 635502650646233088
negative 635504019008413696
neutral 635506773743534080
neutral 635506998503604224
negative 635509856821096452
neutral 635510951308095488
neutral 635511001778012161
neutral 635515469898874880
negative 635517141857509376
neutral 635517450029801472
negative 635529320501383168
neutral 635529848589557760
neutral 635530434865008640
positive 635543398997344257
positive 635543588273815552
neutral 635545330797277184
neutral 635546850574082048
neutral 635547421494239232
neutral 635547812361428992
negative 635549632626561024
neutral 635549904597741569
neutral 635551578104066048
negative 635553498856226816
negative 635555415531618306
neutral 635560663914520576
neutral 635567647095066624
negative 635588399341174784
neutral 635590883207811072
neutral 635600126644346880
neutral 635612642355208192
neutral 635622655547318272
neutral 635626194226941952
neutral 635661385301536768
negative 635756441522016256
neutral 635762279640879104
neutral 635776557966053376
negative 635800267238305792
neutral 635818025791430657
negative 635818352024252420
positive 635834651970564096
neutral 635842517867466753
negative 635853282129264640
neutral 635855853174792197
neutral 635869948527648768
neutral 635877177385467905
neutral 635897465779019776
neutral 636197852792786944
neutral 636290014985498624
neutral 636590217160433665
neutral 636624169862569985
neutral 636649085169205250
neutral 636657981656924160
neutral 636871807174361088
neutral 637153525147918336
neutral 637184847891427328
neutral 637798283683885057
neutral 638475615713280000
neutral 641150496141615104
neutral 632880375983964160
neutral 632894572939620353
neutral 633402517800546304
neutral 633403143796203520
negative 633403779174526976
neutral 633658499952676864
neutral 633732861862940673
negative 633809901547057152
positive 634038239557455872
positive 634200282008694784
negative 634328338170032128
negative 634337122355388416
negative 634361055393804293
positive 634391928482725888
negative 634425734258409472
negative 634505775403114497
positive 634650148417761281
neutral 634680263684001793
negative 634698252034551809
positive 635048059790053376
neutral 635406613944397824
positive 635474369268027392
neutral 635754036835262464
negative 636068112266330112
neutral 636140114830344192
positive 636282157774864385
neutral 636488347695861760
negative 636586107145199616
negative 636630181659209728
neutral 636820930543648768
neutral 636885610763038720
neutral 636894421578067968
negative 636895299106152448
negative 636917166974083072
positive 637028195250909184
neutral 637331439634223105
negative 637737485695610881
neutral 637775514896306176
negative 637926163030089728
neutral 637948930324606976
negative 637957234455134208
neutral 637971755580133377
neutral 637986204210831360
neutral 638344212933701632
neutral 638608937445683200
positive 638704235736137728
negative 639183043794726912
neutral 639199695374581764
neutral 639331790629535744
neutral 639368543688114176
negative 639396615783075840
neutral 639443845890093056
negative 639517683873128448
neutral 639713420636504064
neutral 639718916705648640
positive 639752555707396096
neutral 639764731750973440
negative 639792015107063808
neutral 639798848454553600
negative 639828253482594304
neutral 639922848556052480
neutral 639958985827819520
neutral 640076240817418240
positive 640110503155617796
negative 640110831842238465
positive 640274726661828609
neutral 640287157815508993
neutral 640367578351816704
neutral 640757161019228160
neutral 641131415875256320
negative 641228611870150656
negative 641304761401278464
negative 641641295606366208
neutral 628331336596619266
positive 628346284361973760
neutral 628470855463383044
neutral 628649511838162947
neutral 628773746871017472
neutral 628784144269594624
positive 628792713488543744
neutral 629095993041113088
neutral 629426040889327616
positive 629690358742523904
positive 629794562576359425
neutral 630113607913742336
negative 630118917629964288
neutral 630175161002643456
negative 630406522896547841
neutral 630524936176705536
neutral 630576333807091712
positive 630833107411845120
neutral 631293226498945025
negative 631592969053859840
neutral 631844199093129217
neutral 632022549027688449
neutral 632045487432970241
negative 632391299912433665
neutral 632442694808145921
neutral 632512554305130497
neutral 632756925516619776
negative 632939558598905856
negative 633042074879832065
neutral 633101783527723008
positive 633273650674814976
negative 633331291514097665
negative 633369499350102016
neutral 633380644001742848
neutral 633621599879430146
neutral 633735922719178753
neutral 633751103629193216
neutral 633989745266282496
neutral 634005415978627072
negative 634032603201323009
neutral 634187820484001792
negative 634246431033925632
positive 634275104709435392
neutral 634352108364529665
neutral 634356634664443904
neutral 634425212335816704
negative 634432237027655680
neutral 634480922843189248
neutral 634518424383827968
neutral 634560302034518016
neutral 634936207114289152
neutral 634984305073061888
neutral 635021140730249216
neutral 635213735284477952
negative 635953968380686336
negative 636361464891183104
neutral 636756702638026752
neutral 636774312062619649
neutral 636897294600810496
negative 637133817145200640
neutral 637234589489102848
positive 637439565549170688
neutral 637651180399693825
neutral 637848793577357312
neutral 638405805394534400
negative 638463401631588352
neutral 638463776212303872
neutral 639042460635688960
negative 639261808574902272
neutral 639707752315650048
neutral 639709590913847296
neutral 639900354386206720
neutral 640198745456558080
neutral 640324637075894272
negative 640659816420102144
negative 640673638174187520
neutral 640822923213828096
neutral 640978178236936192
neutral 641119350913499136
negative 641286059532361732
neutral 641287866484658176
negative 641298064427237376
neutral 641434250827313152
neutral 641490603193167872
negative 627764469729521664
positive 627881680733233152
negative 628118074328260608
negative 628246278384807936
positive 628520587015663618
neutral 628600780975697920
negative 628773222000009216
neutral 628774203362115588
negative 628777747540746242
neutral 628816586275565569
neutral 628893507684540416
negative 629035692450906112
neutral 629085719596679168
neutral 629236795033657344
negative 629315793080049665
neutral 629464041203744769
neutral 629526024024424448
neutral 629538209886769152
neutral 629560981035745280
positive 629949053485367296
negative 630142794204639232
neutral 630473332383739904
positive 630909347183370240
negative 630967083027853312
negative 631210797234937857
neutral 631252216658182145
negative 631516574587965441
negative 632014320390537216
neutral 632156391277490176
neutral 632317967200485376
neutral 632410506687586304
negative 632900882078789632
neutral 633020269683187713
negative 633315721888538624
negative 633331622994034693
neutral 633339935186141185
negative 633693812108431360
positive 634209505329434624
neutral 634225922439143426
positive 634273693644906498
neutral 634281367098945536
negative 634300661174173696
positive 634323234167635968
positive 634370089270177793
negative 634700833037258752
neutral 634838269885313024
negative 634847054045532160
negative 635025649351192576
neutral 635048363293999104
neutral 635990494783389696
neutral 636026561750286337
neutral 636372201453649921
negative 637415649187270657
negative 637498027054272512
neutral 638791271033737217
neutral 640300670667616256
negative 640329556461752320
neutral 640536809923981312
negative 640554259013046272
neutral 640556025918062592
neutral 640570797279436801
negative 640582981388644352
negative 640615130284228608
negative 640671195235491840
neutral 640672034289229824
negative 640683365838950400
negative 640684648801136641
neutral 640756256668430338
neutral 640769646589644800
neutral 640772428986232832
negative 640912191449731072
neutral 641075551860604928
neutral 641314204541153281
negative 626587457933279232
neutral 626622569043509248
neutral 627028846739456000
neutral 627290238549819392
neutral 627291496367009792
positive 627359417919406080
positive 627972879380951040
negative 628067943750828032
negative 628367402242191360
neutral 628450923581468672
negative 628497094844678145
neutral 628630329469833216
negative 628750687380221952
negative 628776809123979264
neutral 628990367061426177
neutral 629187069521178624
positive 629746392261623808
neutral 629772070100963328
negative 629864157727313920
neutral 629901201719439360
neutral 630155773918711808
neutral 630236523175153665
neutral 630307953157931008
negative 630548986571546624
neutral 631334954908061696
negative 632039480694669312
neutral 632171359724961793
neutral 632371336443097088
positive 632721450252697600
positive 632747451548569600
negative 632812578805186560
positive 632973198796193792
negative 633391209415843840
negative 633824623017095168
neutral 633858187326656512
neutral 634088717683003392
neutral 634435465504886784
positive 634602310262386688
neutral 634890543349108736
negative 635141932960739328
neutral 635348283813048325
neutral 635587510505197568
neutral 635597228703391744
neutral 635843253628092416
positive 635915840337022976
neutral 636061301609922560
neutral 636283678226673664
negative 636325804209668096
neutral 636416946523672581
negative 636598769551716352
neutral 636621497864294400
neutral 637016016720166917
negative 637022030282539009
neutral 637327504265445376
negative 637496796332339202
neutral 637496801537339392
negative 637765670885818370
neutral 638057465247043590
neutral 638131414026817536
negative 638234817126006784
negative 638472819496497152
neutral 638749126667075584
neutral 638826389479669761
positive 638921295585931264
neutral 638945069073047552
negative 639125559524487168
negative 639610561924308992
neutral 639617050005127169
negative 639833351709454336
negative 639982213245726724
neutral 640282765137567745
neutral 640356221074014208
positive 640537485123186688
neutral 640544939357569025
positive 640944828877025280
neutral 640988612121595904
positive 632846939537604609
neutral 632888082845536256
neutral 632982999202664449
neutral 633146859624632320
negative 633340354004029440
negative 633363149287112704
neutral 633387125077970944
neutral 633429925089951745
neutral 633470455358357504
negative 633614179329515520
negative 633625152887103488
negative 633633950099996672
positive 633645745464311808
neutral 633703936508194817
neutral 633889383926640640
neutral 633922774906630145
negative 634002132379697152
neutral 634007581548236804
positive 634079852459651072
neutral 634258710970413056
negative 634341005647589376
neutral 634349583372578816
positive 634422465280782337
neutral 634428112902713344
positive 634448060362309633
negative 634469540458397696
neutral 634720850378387456
negative 635129295019466752
positive 635320442132107265
positive 635638345750593536
negative 635913504428556288
negative 635948519099076609
negative 636085068105154561
neutral 636104370006921216
neutral 636374056166514688
negative 636456887182041088
neutral 636537973207490560
negative 636692845164916736
neutral 636729715546390529
neutral 636809976518938624
negative 636908117238919168
neutral 636959552315990016
neutral 636979120707137536
neutral 637091107222908928
positive 637515473685508096
neutral 637724845174824961
negative 637745179575717888
positive 637781018150313984
neutral 637858687076421632
neutral 637874401145409536
neutral 637916805646938112
neutral 637921009274777600
negative 638043782676656129
neutral 638116780536397826
neutral 638302584302891008
neutral 638507727174537216
positive 638837472571486208
negative 638980069147418624
neutral 639010004939444224
negative 639075031864225792
negative 639211516189929472
positive 639212555844632576
negative 639263653787758592
positive 639268536586760192
positive 639529044460105728
positive 639786952166871040
neutral 639924966427758592
neutral 639941926829985793
negative 640321899738873856
neutral 640521480418148357
neutral 640650526548344832
